eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
37.07,0.52,71,0.002908287,0.018310547,1.6489512,-0.011252438,0.019094625,0.5662114918231964,551,70528,7719.591049327981,564224
39.01,0.5,66,0.0058841165,0.032226562,1.6213973,-0.00984584,0.020705394,0.5675640404224396,552,70656,7735.040924416971,565248
45.93,0.46,73,0.0018657712,0.013671875,1.4925411,-0.0077091884,0.022717297,0.5437992513179779,553,70784,7748.971789437986,566272
45.12,0.48,68,0.0038375098,0.026611328,1.216639,-0.010910401,0.02941371,0.4101720452308655,554,70912,7763.8168775810045,567296
45.16,0.47,68,0.008518087,0.052001953,1.4321319,-0.010244232,0.023113655,0.5429948270320892,555,71040,7778.782448475016,568320
44.21,0.49,65,0.0022941849,0.015625,1.5922323,-0.008179069,0.020035557,0.6318473219871521,556,71168,7794.495680718974,569344
39.27,0.55,59,0.008211454,0.05493164,0.8484056,-0.014994578,0.034408204,0.32961809635162354,557,71296,7811.616880376008,570368
38.72,0.54,62,0.005488287,0.033447266,1.3034682,-0.008726664,0.019628543,0.5498630106449127,558,71424,7828.012863598997,571392
41.34,0.53,66,0.004144428,0.021484375,1.3657026,-0.010010472,0.028081119,0.3275035619735718,559,71552,7843.306946180994,572416
39.79,0.55,65,0.0032219056,0.018066406,1.2458588,-0.008892996,0.027058346,0.48638445138931274,560,71680,7858.966453627974,573440
40.32,0.53,66,0.004646014,0.029541016,1.2533813,-0.009743994,0.02646494,0.3545689582824707,561,71808,7874.463376622996,574464
41.99,0.56,64,0.005085006,0.036865234,1.5572245,-0.012812232,0.017772593,0.6171645820140839,562,71936,7890.392381482001,575488
38.44,0.58,65,0.0038173485,0.022705078,1.3331373,-0.007471652,0.022621889,0.6160531342029572,563,72064,7905.955083011009,576512
42.58,0.54,67,0.003894566,0.021972656,1.8440865,-0.013105132,0.018328188,0.3531908392906189,564,72192,7921.144675809017,577536
43.12,0.53,62,0.0024026523,0.017822266,1.5829821,-0.0076759793,0.018630154,0.5090465247631073,565,72320,7937.637404158013,578560
